Locality,Locality_details,YYYY,MM,DD,DNA_extract,lat,lon,H6_str,HUC_8,HUC_10,HU_10_NAME,HU_8_Name,img_url,geometry
Bear River,Bear River,2004,10,10,NA,40.46382847,-124.3651821,180101,18010107,1801010701,NA,Mattole,NA,"c(-124.3651821, 40.46382847)"
Sandy Bar,Sandy Bar,2004,8,22,NA,40.87796912,-123.6088182,180102,18010212,1801021205,NA,South Fork Trinity,NA,"c(-123.6088182, 40.87796912)"
Los Burros Creek,"Los Burros Creek, for approx. 1km downstream from ""North Fork"", above/below eastern-most road crossing, Fort Hunter Liggett",2003,7,22,396,35.867,-121.289,180600,18060005,1806000506,NA,Salinas,NA,"c(-121.289, 35.867)"
Canyon Ck,Canyon Ck,2007,8,23,344,40.74655811,-123.0607063,180102,18010211,1801021111,NA,Trinity,NA,"c(-123.0607063, 40.74655811)"
Willow Ck,Willow Ck,2003,9,8,NA,40.90705367,-123.7072677,180102,18010211,1801021112,NA,Trinity,NA,"c(-123.7072677, 40.90705367)"
NA,NA,2015,NA,NA,NA,39.94053865,-121.1427461,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.1427461, 39.94053865)"
NA,NA,2015,NA,NA,NA,39.9602158,-121.1569414,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1569414, 39.9602158)"
NA,NA,2015,NA,NA,NA,39.95930173,-121.1572469,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1572469, 39.95930173)"
NA,NA,2015,NA,NA,NA,39.95876071,-121.1583502,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1583502, 39.95876071)"
NA,NA,2015,NA,NA,NA,39.95859296,-121.1585655,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1585655, 39.95859296)"
NA,NA,2015,NA,NA,NA,39.9584629,-121.158885,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.158885, 39.9584629)"
NA,NA,2015,NA,NA,NA,39.94115776,-121.1425889,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.1425889, 39.94115776)"
NA,NA,2015,NA,NA,NA,39.94032741,-121.1419326,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.1419326, 39.94032741)"
NA,NA,2015,NA,NA,NA,39.94030096,-121.1419684,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.1419684, 39.94030096)"
